Frame,Org_cls,Smoothed_cls,xc,yc,w,h,Org_dir,Smoothed_dir,Org_vel(kmph),Smoothed_vel(kmph),SD(m),FlightHeight
1,car,car,389,337,78,153,,,0.0,0.0,0.0,91.78
1,car,car,2618,1395,140,67,,,0.0,0.0,0.0,91.78
1,motor,motor,179,961,70,35,,,0.0,0.0,0.0,91.78
1,car,car,1928,1321,141,69,,,0.0,0.0,0.0,91.78
1,car,car,2641,1265,147,68,,,0.0,0.0,0.0,91.78
1,car,car,1848,1411,133,66,,,0.0,0.0,0.0,91.78
1,van,van,1444,1282,128,61,,,0.0,0.0,0.0,91.78
1,car,car,241,418,86,147,,,0.0,0.0,0.0,91.78
1,car,car,334,523,76,135,,,0.0,0.0,0.0,91.78
1,car,car,440,100,89,179,,,0.0,0.0,0.0,91.78
1,car,car,2373,1463,153,70,,,0.0,0.0,0.0,91.78
1,car,car,3233,866,161,69,,,0.0,0.0,0.0,91.78
1,car,car,2244,1269,142,70,,,0.0,0.0,0.0,91.78
1,car,car,2833,1253,160,69,,,0.0,0.0,0.0,91.78
1,motor,motor,922,555,29,68,,,0.0,0.0,0.0,91.78
1,car,car,1310,1645,147,69,,,0.0,0.0,0.0,91.78
1,car,car,1507,1540,138,64,,,0.0,0.0,0.0,91.78
1,motor,motor,2538,1337,72,32,,,0.0,0.0,0.0,91.78
1,car,car,3046,1251,144,67,,,0.0,0.0,0.0,91.78
1,tricycle,tricycle,1249,934,93,48,,,0.0,0.0,0.0,91.78
1,tricycle,tricycle,538,978,114,51,,,0.0,0.0,0.0,91.78
1,car,car,1267,1314,155,76,,,0.0,0.0,0.0,91.78
1,van,van,255,1670,144,163,,,0.0,0.0,0.0,91.78
1,car,car,2065,1136,150,70,,,0.0,0.0,0.0,91.78
1,car,car,2495,1006,148,67,,,0.0,0.0,0.0,91.78
1,car,car,240,1024,165,77,,,0.0,0.0,0.0,91.78
1,car,car,2442,1379,136,68,,,0.0,0.0,0.0,91.78
1,van,van,1404,1449,136,66,,,0.0,0.0,0.0,91.78
1,car,car,1482,1366,149,69,,,0.0,0.0,0.0,91.78
1,truck,truck,1735,1287,181,77,,,0.0,0.0,0.0,91.78
1,car,car,1241,1438,141,66,,,0.0,0.0,0.0,91.78
1,car,car,772,1712,115,91,,,0.0,0.0,0.0,91.78
1,car,car,1066,1345,120,65,,,0.0,0.0,0.0,91.78
1,car,car,349,1142,175,72,,,0.0,0.0,0.0,91.78
1,car,car,1706,1509,158,72,,,0.0,0.0,0.0,91.78
1,car,car,1242,1528,138,68,,,0.0,0.0,0.0,91.78
1,car,car,2231,1374,144,70,,,0.0,0.0,0.0,91.78
1,car,car,2029,1395,138,73,,,0.0,0.0,0.0,91.78
1,motor,motor,978,1298,64,31,,,0.0,0.0,0.0,91.78
1,car,car,2843,1502,176,76,,,0.0,0.0,0.0,91.78
1,motor,motor,1308,762,69,41,,,0.0,0.0,0.0,91.78
1,car,car,2581,1485,165,73,,,0.0,0.0,0.0,91.78
1,van,van,2057,1481,162,71,,,0.0,0.0,0.0,91.78
1,truck,truck,3096,1386,274,93,,,0.0,0.0,0.0,91.78
1,car,car,264,70,80,139,,,0.0,0.0,0.0,91.78
1,car,car,1649,1429,157,65,,,0.0,0.0,0.0,91.78
1,car,car,273,252,86,147,,,0.0,0.0,0.0,91.78
1,van,van,2442,1277,173,73,,,0.0,0.0,0.0,91.78
1,motor,motor,2426,770,61,29,,,0.0,0.0,0.0,91.78
1,car,car,351,164,78,166,,,0.0,0.0,0.0,91.78
1,motor,motor,3769,1525,63,37,,,0.0,0.0,0.0,91.78
1,motor,motor,2043,1049,65,27,,,0.0,0.0,0.0,91.78
1,car,car,2821,1337,181,80,,,0.0,0.0,0.0,91.78
1,motor,motor,385,600,39,69,,,0.0,0.0,0.0,91.78
