class,class_id,start_frame,end_frame,duration_frames,duration_sec,displacement,pos_variance,mean_vel,max_vel,pre_vel,post_vel,mean_x,mean_y,vehicle_file
car,2,21,240,220,9.166666666666666,3.605551275463989,2.2131571387532323,0.8627863636363636,1.941,1.6341,2.154,385.4727272727273,338.7818181818182,1.csv
car,2,263,586,324,13.5,12.206555615733702,12.288222222222222,0.6258734567901235,1.921,2.1548000000000003,2.087,387.1203703703704,344.81481481481484,1.csv
car,2,588,714,127,5.291666666666667,2.0,2.5099999999999993,0.9280866141732284,1.976,1.3296999999999999,2.136,394.46456692913387,345.8346456692913,1.csv
car,2,785,883,99,4.125,3.0,0.4375,1.0765252525252524,1.997,2.1424,2.007,391.92929292929296,344.92929292929296,1.csv
car,2,1054,1238,185,7.708333333333333,7.280109889280518,2.957908163265306,0.8206162162162162,1.865,2.0053000000000005,2.083,385.76216216216216,349.8918918918919,1.csv
car,2,1246,1770,525,21.875,3.605551275463989,25.737109375,0.7882342857142857,1.925,1.8485,2.282,385.59238095238095,342.5028571428571,1.csv
car,2,8,527,520,21.666666666666668,5.830951894845301,5.5415999456527,0.45156346153846155,1.873,0.331,2.047,2618.471153846154,1391.0442307692308,10.csv
tricycle,6,26,231,206,8.583333333333334,7.0710678118654755,4.443771626297578,1.0018252427184464,1.883,1.4061,5.322,3127.140776699029,726.6796116504854,103.csv
tricycle,6,440,581,142,5.916666666666667,4.47213595499958,2.553633217993079,1.0294999999999999,1.918,1.7499000000000002,3.565,3128.6830985915494,722.8802816901408,103.csv
motor,3,190,287,98,4.083333333333333,6.082762530298219,0.7551903114186851,0.7328163265306122,1.791,2.9193000000000002,4.384,2950.4285714285716,1300.1734693877552,105.csv
motor,3,562,676,115,4.791666666666667,38.05259518088089,141.10107015457788,0.9971545454545456,1.994309090909092,2.0905257575757576,16.647,2933.8434782608697,1303.9913043478261,105.csv
car,2,56,334,279,11.625,9.055385138137417,1.1352327900937182,0.5074802867383512,1.953,2.4619,3.745,1927.258064516129,1318.7885304659499,11.csv
car,2,395,521,127,5.291666666666667,9.0,0.934559221200649,0.7237795275590552,1.832,2.8814,3.313,1850.6062992125985,1320.0708661417323,11.csv
motor,3,168,274,107,4.458333333333333,2.23606797749979,0.4844290657439446,0.7821028037383176,1.956,3.1184,2.237,1019.6822429906542,1450.018691588785,114.csv
car,2,973,1881,909,37.875,5.0,14.304076356196026,0.6316369636963697,1.993,2.3482000000000003,3.415,359.11771177117714,24.205720572057206,119.csv
car,2,11,193,183,7.625,5.0,3.8844534765568297,0.5953114754098361,1.877,1.6413999999999997,2.343,2640.158469945355,1261.3060109289618,12.csv
car,2,214,504,291,12.125,3.1622776601683795,1.1346109376806568,0.4897697594501719,1.875,2.2021,3.269,2642.041237113402,1259.4192439862543,12.csv
motor,3,279,411,133,5.541666666666667,2.0,0.5951557093425606,1.0265714285714285,1.922,3.7871,2.255,447.29323308270676,447.63157894736844,123.csv
motor,3,433,507,75,3.125,6.324555320336759,0.25,1.01128,1.887,1.9297,2.046,451.8,451.16,123.csv
motor,3,584,703,120,5.0,3.605551275463989,0.6987755102040816,0.8867499999999999,1.967,1.3766,2.647,457.775,448.44166666666666,123.csv
motor,3,913,1021,109,4.541666666666667,5.830951894845301,0.9230769230769232,0.9901926605504587,1.977,2.0593999999999997,2.976,453.8256880733945,455.54128440366975,123.csv
