class,class_id,start_frame,end_frame,duration_frames,duration_sec,displacement,pos_variance,mean_vel,max_vel,pre_vel,post_vel,mean_x,mean_y,vehicle_file
motor,3,4076,4100,25,1.041666667,5,1.26364552,1.30504,2.493,2.744,3.5344,1069.76,1547.84,268.csv
motor,3,4991,5015,25,1.041666667,1.414213562,1.193314711,1.5654,2.469,2.8938,3.21,1025.32,1573.56,343.csv
motor,3,4945,4969,25,1.041666667,3.16227766,1.738044879,1.746,2.456,3.0094,2.1684,1020.56,1571.84,343.csv
motor,3,301,325,25,1.041666667,2.828427125,1.472956211,1.32072,2.442,2.8428,2.786,1305.52,770.8,59.csv
motor,3,5186,5210,25,1.041666667,1.414213562,1.897366596,1.58644,2.439,2.8868,4.77,1028.6,1572,343.csv
motor,3,1477,1501,25,1.041666667,7,1.607980099,1.12368,2.414,3.2492,3.9552,400,537.12,195.csv
motor,3,4799,4823,25,1.041666667,1,1.080740487,1.5944,2.412,2.571,3.045,893.44,1597.72,313.csv
motor,3,4562,4586,25,1.041666667,4.123105626,2.019900988,1.40392,2.397,3.5168,2.997,2205.48,1271.64,364.csv
car,2,5535,5559,25,1.041666667,9,2.6387876,1.65708,2.334,2.3652,2.5786,2396.12,1307.68,423.csv
car,2,4753,4778,26,1.083333333,23.19482701,6.852201305,2.029576923,2.481,2.6936,2.5854,2521.846154,1286.153846,423.csv
motor,3,600,625,26,1.083333333,4.472135955,1.786703023,1.888538462,2.464,2.9236,2.6194,3133.807692,1194.038462,99.csv
motor,3,105,130,26,1.083333333,6.08276253,1.725633406,1.521461538,2.44,1.9076,3.3528,2720.538462,1461.961538,68.csv
motor,3,442,467,26,1.083333333,1,1.504431324,1.960192308,2.422,2.8154,2.501,2927.5,1202.423077,76.csv
motor,3,6157,6183,27,1.125,12.04159458,4.781652176,1.258333333,2.482,2.7724,3.6268,437.2222222,199.5555556,392.csv
motor,3,7629,7655,27,1.125,13.89244399,4.083154863,1.846925926,2.478,2.7802,2.3892,1680.592593,815.2962963,588.csv
motor,3,6364,6390,27,1.125,1,2.030629654,1.695740741,2.207,2.444,3.6216,431.5555556,196.1111111,392.csv
motor,3,476,503,28,1.166666667,1,1.281242222,1.990428571,2.453,2.341,2.4548,1770.178571,812.9285714,58.csv
motor,3,2192,2219,28,1.166666667,7.280109889,3.261361616,1.787392857,2.442,2.189,2.6222,541.6785714,1561.285714,199.csv
motor,3,6101,6128,28,1.166666667,10.04987562,2.276768207,1.28375,2.44,2.8812,3.6166,326.2142857,139.3571429,547.csv
motor,3,929,956,28,1.166666667,4.123105626,1.972709211,1.823571429,2.409,2.6026,2.7556,400.5714286,537.1785714,195.csv
motor,3,671,698,28,1.166666667,3.605551275,1.111167799,1.604607143,2.407,2.696,3.3248,3032.214286,1299.928571,125.csv
motor,3,5537,5565,29,1.208333333,11,3.507084727,2.148689655,2.457,2.2426,3.1102,2472.137931,1244.517241,455.csv
motor,3,5828,5856,29,1.208333333,12.52996409,3.642463266,1.392827586,2.432,2.6996,3.1492,307.2758621,93.03448276,547.csv
motor,3,2502,2530,29,1.208333333,9.433981132,2.466903396,0.963758621,2.416,2.9652,3.3054,1778.517241,397.5172414,194.csv
motor,3,4624,4652,29,1.208333333,6.708203932,2.56890766,0.957103448,2.408,2.6766,2.6808,1308.655172,1563.37931,376.csv
motor,3,3369,3397,29,1.208333333,2.828427125,1.268853068,1.474344828,2.376,2.883,2.4406,911.5172414,1286.862069,266.csv
motor,3,4794,4822,29,1.208333333,3,1.758958723,1.712793103,2.284,3.0886,3.408,1024.206897,1573.965517,343.csv
motor,3,5471,5500,30,1.25,1,1.366666667,1.957633333,2.485,2.8494,2.6202,436.5666667,198.6666667,392.csv
motor,3,981,1010,30,1.25,5,1.846919357,1.827933333,2.459,2.3668,3.8464,401.4333333,537.3666667,195.csv
motor,3,5145,5174,30,1.25,10.81665383,3.268366904,1.204666667,2.43,3.3944,3.4338,2578.5,1281.966667,455.csv
motor,3,4270,4299,30,1.25,13.60147051,3.821576173,0.5768,2.348,3.4632,2.7364,2050.666667,1330.866667,365.csv
motor,3,189,218,30,1.25,6.08276253,3.225075365,0.950166667,2.3,2.1228,2.3078,3133.833333,1194.066667,99.csv
motor,3,4555,4585,31,1.291666667,36.12478374,12.26756847,1.196536065,2.472841202,2.728652361,12.8318,1317.580645,1555.483871,376.csv
car,2,3465,3495,31,1.291666667,8.062257748,2.302331081,1.331612903,2.469,3.0568,2.5598,1243.612903,1497.032258,282.csv
motor,3,3400,3431,32,1.333333333,1,1.158359562,2.0628125,2.497,2.1498,3.2054,914.59375,1287.65625,266.csv
motor,3,3983,4014,32,1.333333333,2,1.078011769,1.38065625,2.471,2.5894,2.9144,967.34375,1525.53125,248.csv
motor,3,117,148,32,1.333333333,1.414213562,0.924915537,1.13575,2.281,1.563,3.4208,1017.375,1452.0625,114.csv
motor,3,5073,5104,32,1.333333333,3.16227766,1.695006453,1.1766875,2.241,3.096,2.4956,1029.96875,1571.96875,343.csv
motor,3,4984,5016,33,1.375,1,1.516363152,1.512636364,2.437,2.9184,2.981,2218.848485,1275.363636,364.csv
motor,3,4378,4410,33,1.375,2.828427125,2.497013827,1.727090909,2.421,3.0608,3.2154,913.2121212,1591.848485,313.csv
motor,3,473,506,34,1.416666667,4.472135955,2.495151007,1.709235294,2.484,2.9052,2.5432,399.7647059,533.2058824,195.csv
motor,3,3093,3126,34,1.416666667,3.16227766,1.929106863,1.965970588,2.478,3.1486,2.79,1049.970588,1497.205882,260.csv
van,8,336,369,34,1.416666667,12.04159458,3.66563108,1.825117647,2.397,2.1134,2.4164,1332.411765,1451.735294,41.csv
motor,3,6407,6440,34,1.416666667,5.385164807,1.792187969,1.904676471,2.366,2.5212,2.581666667,472.6470588,483.6764706,514.csv
motor,3,5310,5343,34,1.416666667,2,1.561318758,1.658029412,2.338,2.9696,2.5458,1790.558824,398.5,194.csv
motor,3,5677,5710,34,1.416666667,4.123105626,1.377023519,1.449235294,2.315,2.8004,2.7666,304.1764706,79.11764706,547.csv
motor,3,6044,6077,34,1.416666667,5.830951895,2.090719318,0.815794118,2.22,2.9474,4.6914,322.0588235,136.0882353,547.csv
car,2,214,248,35,1.458333333,5.099019514,2.126988865,1.712485714,2.485,3.0012,2.6726,1179.8,1523.514286,5.csv
van,8,500,534,35,1.458333333,17.11724277,5.493298329,1.928514286,2.471,2.5888,1.181,2356.142857,1275.657143,83.csv
motor,3,2433,2467,35,1.458333333,7.071067812,1.983606281,1.434514286,2.335,2.7054,2.742,1767.114286,391.2285714,194.csv
motor,3,69,103,35,1.458333333,2,0.906214373,1.190628571,2.256,0,2.2102,2719.8,1462.285714,68.csv
motor,3,4845,4880,36,1.5,2.236067977,1.371558544,1.722638889,2.493,3.2562,3.064,1021.027778,1573.916667,343.csv
car,2,431,466,36,1.5,16.03121954,4.366680803,1.901472222,2.44,2.4006,2.4798,1415.944444,1370.611111,42.csv
motor,3,5247,5282,36,1.5,3.16227766,1.412029447,1.631194444,2.436,3.5844,2.9792,1065.611111,1540.277778,268.csv
motor,3,2206,2241,36,1.5,4.472135955,1.590869007,1.393583333,2.424,2.329,3.3718,1144.722222,818.9444444,188.csv
motor,3,537,572,36,1.5,8.94427191,2.656084327,1.034944444,2.42,3.1812,3.4046,1771.25,813.7222222,58.csv
motor,3,4961,4997,37,1.541666667,2.236067977,1.708484392,1.554567568,2.498,2.8318,2.9294,1193.621622,795.2702703,84.csv
motor,3,7614,7650,37,1.541666667,3,1.662546649,1.058243243,2.479,2.532,2.6564,774.8918919,1393.621622,574.csv
motor,3,6273,6309,37,1.541666667,6.708203932,3.250667179,1.849567568,2.466,2.9688,2.9052,485,488.027027,514.csv
van,8,536,572,37,1.541666667,17.02938637,4.968270397,1.211540541,2.432,1.463,2.5762,2340.216216,1275.162162,83.csv
motor,3,3564,3600,37,1.541666667,7.615773106,2.771028242,1.053486486,2.424,3.3296,3.1614,1064.756757,1535.27027,268.csv
motor,3,307,343,37,1.541666667,3.16227766,2.251855821,1.568108108,2.353,3.0962,2.429,796.2972973,1593.054054,64.csv
car,2,1,37,37,1.541666667,3.605551275,1.067482036,0.972405405,2.267,0,2.4276,1241.405405,1528.513514,5.csv
motor,3,375,411,37,1.541666667,5.656854249,1.890733236,0.816486486,2.226,2.7858,3.4144,1279.108108,1519.378378,53.csv
motor,3,5635,5672,38,1.583333333,3.605551275,1.827195299,1.863552632,2.489,2.2344,2.6072,444.1578947,539.7105263,429.csv
motor,3,6490,6527,38,1.583333333,4,1.083111349,1.028526316,2.319,2.5638,2.686,1789.815789,396.7631579,194.csv
car,2,8051,8088,38,1.583333333,3.16227766,1.717596723,1.719210526,2.3,2.6012,3.2668,930.5789474,1422.631579,584.csv
motor,3,3187,3225,39,1.625,2.236067977,1.654591365,1.582384615,2.481,2.7806,3.0738,1053,1499.923077,260.csv
motor,3,5729,5767,39,1.625,2.828427125,1.291249058,1.778974359,2.472,3.0862,2.27,420.1282051,175.3333333,392.csv
car,2,4901,4939,39,1.625,17.4642492,4.60954046,1.196051282,2.461,3.215,4.506,2093.384615,1586.74359,424.csv
motor,3,4748,4786,39,1.625,1,2.110678526,1.458641026,2.438,2.7166,2.5578,1182.153846,798.6666667,84.csv
car,2,3530,3568,39,1.625,0,1.62127538,1.74325641,2.437,2.4914,2.8856,1252.769231,1497.564103,282.csv
motor,3,5071,5109,39,1.625,2.236067977,2.427380522,1.190333333,2.427,3.2516,2.8452,924.7435897,1292.794872,266.csv
motor,3,5929,5967,39,1.625,8.246211251,2.690719923,1.23525641,2.379,2.4068,2.7536,1651.230769,677.4102564,166.csv
motor,3,106,144,39,1.625,2.236067977,1.074478299,1.275538462,2.35,1.6132,2.9194,1567.25641,1267.102564,96.csv
motor,3,4193,4231,39,1.625,1.414213562,0.98576322,1.499641026,2.319,2.9918,3.0602,915.5641026,1587.692308,313.csv
motor,3,4103,4142,40,1.666666667,9,1.817622073,0.777925,2.49,3.24,4.0494,1177.375,787.675,84.csv
motor,3,5229,5268,40,1.666666667,5.099019514,1.95128163,1.40645,2.465,3.3284,2.4462,2580.45,1306.2,455.csv
car,2,5230,5269,40,1.666666667,5.099019514,1.898683755,1.302775,2.426,2.8372,2.8502,1259.85,1504.65,282.csv
car,2,3618,3657,40,1.666666667,3.16227766,1.692446454,1.27535,2.345,2.974,2.7774,1248.775,1497.9,282.csv
motor,3,3371,3410,40,1.666666667,6.32455532,2.051066796,1.8613,2.345,2.6164,2.5232,966.675,1527.75,248.csv
motor,3,575,615,41,1.708333333,4,1.543345563,1.331268293,2.462,2.2012,2.4872,3031.609756,1299.04878,125.csv
motor,3,5309,5349,41,1.708333333,23.02172887,3.593900577,1.222790698,2.445581395,2.644716279,3.5874,1173.609756,787.1707317,84.csv
motor,3,4633,4674,42,1.75,0,1.06399538,1.647,2.496,2.394,2.1264,423.4761905,194.7857143,392.csv
motor,3,4476,4517,42,1.75,8.062257748,2.743886216,1.881357143,2.47,2.7446,3.0178,999.7857143,1570.857143,343.csv
motor,3,268,309,42,1.75,3.16227766,1.046807045,0.906095238,2.456,1.036,2.685,949.2380952,1616.452381,104.csv
motor,3,4257,4298,42,1.75,4.242640687,4.377133429,1.597190476,2.444,2.9634,2.6586,915.2857143,1588.595238,313.csv
motor,3,5180,5221,42,1.75,3,1.428968199,1.276238095,2.404,2.6648,2.4224,2219.928571,1275.309524,364.csv
car,2,1,42,42,1.75,4.123105626,1.251076634,0.939642857,2.394,0,2.4748,1927.761905,1320.404762,11.csv
motor,3,72,114,43,1.791666667,5.099019514,1.332702212,1.446325581,2.49,3.3624,4.7434,1018.581395,1451.953488,89.csv
motor,3,7301,7343,43,1.791666667,5,2.443963657,1.727209302,2.461,2.977,2.6752,778.7674419,1395.860465,574.csv
motor,3,4320,4362,43,1.791666667,12.20655562,4.029904441,1.321232558,2.421,3.4074,2.6258,2217.372093,1276.395349,364.csv
motor,3,5860,5903,44,1.833333333,5.385164807,2.83380931,1.486931818,2.495,2.4458,2.6046,1647.454545,670.3863636,166.csv
motor,3,1287,1330,44,1.833333333,4.472135955,1.26866234,1.873886364,2.476,2.518,2.634,400.9090909,537.1363636,195.csv
car,2,515,558,44,1.833333333,19,5.6540686,1.715318182,2.47,2.9432,3.168,2645.272727,1259.659091,12.csv
motor,3,6853,6896,44,1.833333333,5.099019514,2.082864961,1.080159091,2.462,2.8614,2.4386,1788.159091,403.5,194.csv
